('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      413    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.086    0.086 pathlib.py:1(<module>)
        1    0.000    0.000    0.050    0.050 client.py:1(<module>)
        1    0.000    0.000    0.010    0.010 socket.py:1(<module>)
      138    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       40    0.000    0.000    0.092    0.002 response.py:1173(read_chunked)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3473(_collect_parameters)
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      730    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      176    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      344    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      304    0.000    0.000    0.169    0.001 __init__.py:226(compile)
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        7    0.000    0.000    0.004    0.001 typing.py:2761(_make_nmtuple)
       51    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.069    0.069 dammit.py:1(<module>)
        1    0.000    0.000    0.182    0.182 adapters.py:1(<module>)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3388(_has_generic_or_protocol_as_origin)
        2    0.000    0.000    0.137    0.068 request.py:1(<module>)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
    79/46    0.000    0.000    1.335    0.029 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.444    0.222 connection.py:1(<module>)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    1.407    1.407 financial.py:7(get_financial_data)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
