('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790565 function calls (766278 primitive calls) in 6.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      165    0.371    0.002    0.371    0.002 {method '__exit__' of '_io._IOBase' objects}
      165    0.001    0.000    0.839    0.005 <frozen importlib._bootstrap_external>:1202(path_stats)
      165    0.002    0.000    1.432    0.009 <frozen importlib._bootstrap_external>:1183(get_data)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      165    0.005    0.000    2.325    0.014 <frozen importlib._bootstrap_external>:1062(get_code)
    165/4    0.001    0.000    5.023    1.256 <frozen importlib._bootstrap_external>:989(exec_module)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      165    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      163    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      158    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      157    0.000    0.000    0.000    0.000 enum.py:1292(value)
      155    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      155    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      146    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      145    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
  139/137    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      138    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:385(freeze)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      134    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      127    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      124    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      122    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      114    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      111    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
    87/62    0.000    0.000    0.006    0.000 typing.py:508(__getitem__)
       86    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       83    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3473(_collect_parameters)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3388(_has_generic_or_protocol_as_origin)
    79/46    0.000    0.000    1.347    0.029 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.001    0.000    0.006    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       74    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       72    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.001    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    68/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       67    0.000    0.000    0.000    0.000 typing_extensions.py:3410(_is_unpacked_typevartuple)
       66    0.000    0.000    0.925    0.014 {method 'readline' of '_io.BufferedReader' objects}
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       64    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       64    0.000    0.000    0.002    0.000 typing.py:885(__init__)
       63    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       62    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       62    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       62    0.001    0.000    0.005    0.000 typing.py:687(Union)
       60    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       59    0.000    0.000    0.092    0.002 client.py:633(_safe_read)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       57    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       57    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       54    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       52    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
    52/14    0.001    0.000    0.018    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       51    0.002    0.000    0.004    0.000 <frozen abc>:105(__new__)
       51    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       49    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
       49    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       48    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       48    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       45    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       45    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       43    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       42    0.000    0.000    0.103    0.002 response.py:1044(stream)
       42    0.000    0.000    0.103    0.002 models.py:816(generate)
    42/30    0.000    0.000    0.014    0.000 css_parser.py:569(parse_pseudo_class)
