('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790306 function calls (766059 primitive calls) in 10.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      313    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        3    0.000    0.000    0.431    0.144 response.py:1(<module>)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      526    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3388(_has_generic_or_protocol_as_origin)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.074    0.037 models.py:1(<module>)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       40    0.000    0.000    0.102    0.003 response.py:1173(read_chunked)
       20    0.000    0.000    0.062    0.003 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1297(_cookie_attrs)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.356    0.356 adapters.py:1(<module>)
        3    0.000    0.000    0.342    0.114 exceptions.py:1(<module>)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      515    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       51    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      520    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    30/17    0.000    0.000    1.637    0.096 {built-in method builtins.__import__}
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.513    0.513 _base_connection.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       66    0.000    0.000    1.208    0.018 {method 'readline' of '_io.BufferedReader' objects}
      165    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.065    0.065 dammit.py:1(<module>)
        1    0.000    0.000    0.902    0.902 connectionpool.py:1(<module>)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
